	min_support	rmse	mae	mse	fcp
0	5	0.920689001461796	0.6958217692216002	0.847668237412719	0.6460907404697043
1	10	0.9261326275912493	0.6984221310465508	0.8577216438890716	0.6658072449097783
2	15	0.932966072964581	0.7041215434394685	0.8704256933029518	0.6968332349903867
3	20	0.934924256180081	0.7063386763454013	0.8740833647938777	0.7258303289946325
4	25	0.9391204242905845	0.7106075743143514	0.8819471713197274	0.7493683287251381
5	30	0.9447940265921044	0.7157285994000554	0.8926357526841222	0.7651035241438625
6	35	0.9474883272657066	0.7188122297862677	0.8977341303047668	0.7755422052697066
7	40	0.9484177378516425	0.721528775571405	0.899496205471627	0.7861536482582933
8	45	0.9519557445577383	0.7253709425344937	0.906219739596478	0.7933478787406819
9	50	0.9527815938410968	0.727096852865066	0.9077927655623809	0.7969981712308114
10	55	0.9548804747387227	0.7294016618833982	0.9117967210372485	0.8017624264237404
11	60	0.9575108787389228	0.7315264441822228	0.9168270829033842	0.8077349970537003
12	65	0.9604778732341327	0.7335218233166523	0.9225177449723627	0.8084321886412796
13	70	0.9634049098975959	0.7363711724029776	0.9281490204147947	0.8089866069532687
